timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,temperature,cadence,fractional_cadence
2020-02-12 08:16:32-08:00,,,0.0,,,,,86,27,,
2020-02-12 08:16:33-08:00,,,0.0,,,,,87,27,,
2020-02-12 08:16:38-08:00,,,0.0,,,,,88,27,,
2020-02-12 08:16:41-08:00,,,0.0,,,,,89,27,,
2020-02-12 08:16:47-08:00,,,0.0,,,,,90,27,,
2020-02-12 08:16:56-08:00,,,0.0,,,,,91,27,,
2020-02-12 08:16:58-08:00,,,0.0,,,,,92,27,,
2020-02-12 08:17:00-08:00,,,0.0,,,,,93,27,,
2020-02-12 08:17:02-08:00,,,0.0,,,,,92,27,,
2020-02-12 08:17:10-08:00,,,0.0,,,,,94,27,,
2020-02-12 08:17:12-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:17:13-08:00,,,0.0,,,,,95,27,,
2020-02-12 08:17:14-08:00,,,0.0,,,,,96,27,,
2020-02-12 08:17:15-08:00,,,0.0,,,,,95,27,,
2020-02-12 08:17:16-08:00,,,0.0,,,,,97,27,,
2020-02-12 08:17:18-08:00,,,0.0,,,,,98,27,,
2020-02-12 08:17:19-08:00,,,0.0,,,,,100,27,,
2020-02-12 08:17:20-08:00,,,0.0,,,,,101,27,,
2020-02-12 08:17:21-08:00,,,0.0,,,,,103,27,,
2020-02-12 08:17:22-08:00,,,0.0,,,,,105,27,,
2020-02-12 08:17:24-08:00,,,0.0,,,,,106,27,,
2020-02-12 08:17:25-08:00,,,0.0,,,,,107,27,,
2020-02-12 08:17:26-08:00,,,0.0,,,,,109,27,,
2020-02-12 08:17:28-08:00,,,0.0,,,,,110,27,,
2020-02-12 08:17:29-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:17:30-08:00,,,0.0,,,,,112,27,,
2020-02-12 08:17:31-08:00,,,0.0,,,,,113,27,,
2020-02-12 08:17:32-08:00,,,0.0,,,,,112,27,,
2020-02-12 08:17:33-08:00,,,0.0,,,,,111,27,,
2020-02-12 08:17:34-08:00,,,0.0,,,,,112,27,,
2020-02-12 08:17:35-08:00,,,0.0,,,,,113,27,,
2020-02-12 08:17:36-08:00,,,0.0,,,,,112,27,,
